Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Q,Completely Locked,04/11/2020 06:48:43 PM,Exercise Equipment,Q414,Rocket Playground,Q414,Rocket Playground,COVID-19 Closure,POINT (-73.84627851240839 40.6706678178842),"24,013",62,3,41,64
M,,04/10/2020 12:10:07 PM,Exercise Equipment,M071-ZN20,Riverside Park,M071,Hudson Beach Volleyball Courts & Café,Active,POINT (-73.9723088812383 40.80261866543613),"12,421",20,4,19,15
Q,Temporary Fencing,04/11/2020 06:19:08 PM,Exercise Equipment,Q102-02,Juniper Valley Park,Q102,Juniper North Playground Tennis,COVID-19 Closure,POINT (-73.87709582234879 40.720654869485145),"15,309",54,3,34,62
M,Temporary Fencing,04/15/2020 04:27:33 PM,Exercise Equipment,M198,"Martin Luther King, Jr. Playground",M198,"Martin Luther King, Jr. Playground",COVID-19 Closure,POINT (-73.95046394642269 40.799834073707714),"12,423",18,4,36,18
Q,,04/09/2020 03:18:23 PM,Exercise Equipment,Q162J01,Beach 9 Playground,Q162J01,Beach 9 Playground,Active,POINT (-73.7450264620596 40.5952950243855),"20,529",51,3,47,59
B,Completely Locked,04/10/2020 01:01:19 PM,Exercise Equipment,B267,Winthrop Playground,B267,Winthrop Playground,COVID-19 Closure,POINT (-73.95436927754135 40.656569624722536),"13,509",17,2,11,44
Q,,04/11/2020 06:25:58 PM,Exercise Equipment,Q015-ZN04,Forest Park,Q015,Victory Field,Active,POINT (-73.85339787369941 40.70146025735233),"24,017",38,3,34,60
B,Completely Locked,04/10/2020 12:32:14 PM,Exercise Equipment,B050,Van Voorhees Playground,B050,Van Voorhees Playground,COVID-19 Closure,POINT (-73.99932162436835 40.69031144424675),"16,865",14,2,27,48
X,,04/14/2020 12:10:33 PM,Exercise Equipment,X307,Barretto Point Park,X307,Barretto Point Park,COVID-19 Closure,POINT (-73.8883643806014 40.805000946999165),"12,343",8,5,43,24
Q,Completely Locked,04/11/2020 06:54:38 PM,Exercise Equipment,Q005-01,Baisley Pond Park,Q005,Sutphin Playground,COVID-19 Closure,POINT (-73.789076327717 40.67475332511123),"24,669",41,3,46,71
