Basketball Still Open,Borough,ClosureType,EditDate,GISpropNum,Handball Still Open,MPPA Still Open,OMPpropID,Red Sign Installed,Status,Tennis Still Open,accessibility,accessibilityLevel,location,name,point,rules,system,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
,M,Not Lockable,05/21/2020 11:10:17 AM,M037,,,M037-01,true,COVID-19 Closure,,,,,Sunken Playground,POINT (-73.93606682793899 40.83789503019744),,,"13,090",47,4,39,21
,X,Completely Locked,05/21/2020 11:10:12 AM,X273,,,X273,,COVID-19 Closure,,false,Not Applicable,Longfellow Av bet. E 173 St and E 174 St,Rock Garden Park,POINT (-73.88518423007375 40.83522130066535),Adults Allowed,X273-CPA-0001,"11,269",34,5,43,25
,X,Completely Locked,05/21/2020 11:09:47 AM,X106,,,X106,,COVID-19 Closure,,false,Not Applicable,E 146 St bet. Walton Av and Grand Concourse,Garrison Playground,POINT (-73.9281917327351 40.817388066348734),Unknown,X106-CPA-0001,"10,929",49,5,43,23
,Q,Completely Locked,05/21/2020 11:10:32 AM,Q121,,,Q121-02,,COVID-19 Closure,,,,,K.l. Williams Playground (Tennis),POINT (-73.78505562920957 40.70384827298734),,,"24,668",41,3,6,61
,Q,Completely Locked,05/21/2020 11:08:22 AM,Q102,,,Q102-02,,COVID-19 Closure,,false,Not Applicable,"80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St",Juniper North Playground Tennis,POINT (-73.87769775064412 40.72018675240357),Unknown,Q102-CPA-0001,"15,309",54,3,34,62
true,M,Partially Locked,05/21/2020 11:07:36 AM,M192,true,,M192,,COVID-19 Closure,,false,Not Applicable,"FDR Dr., E. 95 St. To E. 97 St.",Stanley Isaacs Playground,POINT (-73.94485264743886 40.7826683116308),Adults Allowed,M192-CPA-0001,"10,099",23,4,1,11
,M,Not Lockable,05/21/2020 11:10:32 AM,M010,,,M010-151,,COVID-19 Closure,,,,,Great Lawn Plgd,POINT (-73.96444442562833 40.78247647679099),,,,19,4,19,13
,M,Completely Locked,05/21/2020 11:07:27 AM,M107,,,M107-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,West Of Hell Gate Bridge,Scylla Playground,POINT (-73.9255957500594 40.78395160776719),Unknown,M107-CPA-0001,"13,093",7,4,35,16
,B,Completely Locked,05/21/2020 11:06:11 AM,B219,,,B219,,COVID-19 Closure,,false,Not Applicable,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Callahan-Kelly Playground,POINT (-73.90654102617172 40.67831361810909),Adults Allowed,B219-CPA-0001,"13,516",55,2,37,46
,X,Completely Locked,05/21/2020 11:10:11 AM,X265,,,X265,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Macombs Rd bet. W 176 St and W 175 St,Galileo Playground,POINT (-73.91584004895996 40.84867829129451),Adults Allowed,X265-CPA-0001,"10,931",6,5,29,29
