place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1374,Riverside Park,Skate Park And Basketball Courts,Basketball,1,1,Asphalt
1375,Blood Root Valley,Greenbelt Recreation Center Playground,Basketball,2,1,Asphalt
1376,Riverside Park,Skate Park And Basketball Courts,Basketball,4,1,Asphalt
1377,Riverside Park,Neufeld Plgd,Basketball,9,1,Asphalt
1378,Highbridge Park,Wallenberg Plgd,Basketball,2,1,Asphalt
1379,Kissena Park,Playground,Basketball,1,1,Asphalt
1380,Crotona Park,Prospect Park (2),Basketball,1,1,Asphalt
1381,Astoria Park,Charybdis Playground,Basketball,2,1,Asphalt
1382,Bailey Playground,Playground,Basketball,1,1,Asphalt
1383,Baisley Pond Park,157 St Playground,Basketball,6,1,Asphalt
1384,Forest Park,Dry Harbor Playground,Basketball,5,1,Asphalt
1385,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Basketball,2,1,Asphalt
1386,Williamsbridge Oval,Plgd w/ Mini Pool & Courts,Basketball,1,1,Asphalt
1387,Williamsbridge Oval,Plgd w/ Mini Pool & Courts,Basketball,2,1,Asphalt
1388,Van Cortlandt Park,Van Cortlandt Classic Plgd,Basketball,4,1,Asphalt
1389,Van Cortlandt Park,Van Cortlandt Classic Plgd,Basketball,3,1,Asphalt
1390,Sunset Park,Sunset Park Playground,Basketball,1,1,Asphalt
1391,Sunset Park,Sunset Park Playground,Basketball,3,1,Asphalt
1392,Sunset Park,Sunset Park Playground,Basketball,4,1,Asphalt
1393,Sunset Park,Sunset Park Playground,Basketball,2,1,Asphalt
1394,John J Carty Park,N/A,Basketball,6,1,Asphalt
1395,John J Carty Park,N/A,Basketball,4,1,Asphalt
1396,John J Carty Park,N/A,Basketball,5,1,Asphalt
1397,Shore Park and Parkway,79 St Plgd,Basketball,2,1,Asphalt
1398,Owl's Head Park,Owls Head Park,Basketball,4,1,Asphalt
1399,Owl's Head Park,Owls Head Park,Basketball,3,1,Asphalt
1400,Owl's Head Park,Owls Head Park,Basketball,2,1,Asphalt
1401,Owl's Head Park,Owls Head Park,Basketball,1,1,Asphalt
1402,McKinley Park,McKinley Park Playground,Basketball,2,1,Asphalt
1403,McKinley Park,McKinley Park Playground,Basketball,1,1,Asphalt
1404,Shore Park and Parkway,79 St Plgd,Basketball,3,1,Asphalt
1405,Shore Park and Parkway,79 St Plgd,Basketball,1,1,Asphalt
1406,Dyker Beach Park,Dyker Plgd,Bocce,1,0,Sand
1407,Dyker Beach Park,Dyker Plgd,Bocce,2,0,Sand
1408,Dr. Charles R. Drew Park,N/A,Handball,4,0,Asphalt
1409,Dr. Charles R. Drew Park,N/A,Handball,1,0,Asphalt
1410,Van Cortlandt Park,Van Cortlandt Classic Plgd,Handball,4,0,Concrete
1411,Van Cortlandt Park,Van Cortlandt Classic Plgd,Handball,5,0,Concrete
1412,Tudor Park,Addabbo Playground,Handball,4,0,Asphalt
1413,Tudor Park,Addabbo Playground,Handball,3,0,Asphalt
1414,Tudor Park,Addabbo Playground,Handball,2,0,Asphalt
1415,Tudor Park,Addabbo Playground,Handball,5,0,Asphalt
1416,Tudor Park,Addabbo Playground,Handball,1,0,Asphalt
1417,Tudor Park,Addabbo Playground,Handball,6,0,Asphalt
1418,Red Hook Recreation Area,Bush Clinton Park,Volleyball,2,0,Asphalt
1419,Columbus Park,N/A,Volleyball,3,1,Asphalt
1420,Rockaway Community Park,Rockaway Community Playground,Volleyball,1,1,Asphalt
1421,Columbus Park,N/A,Volleyball,2,1,Asphalt
1422,Leif Ericson Park,Leif Ericson Park Playground,Volleyball,1,1,Synthetic
1423,Commodore Barry Park,Commodore Barry Park Playground,Volleyball,1,0,Asphalt
1424,Fort Tryon Park,Jacob Javits Plgd,Volleyball,1,1,Asphalt
1425,Red Hook Recreation Area,Bush Clinton Park,Volleyball,1,0,Asphalt
1426,Riverside Park,101st St. Soccer Field,Volleyball,8,1,Asphalt
1427,Columbus Park,N/A,Volleyball,1,1,Asphalt
