name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
111th St-Basketball-01,af,M,2020-04-07 17:24:00,40.806683593964294,-73.96945745074275,COVID-19 Closure,Fully Locked
Greenbelt Recreation Center-Basketball-02,af,R,2020-04-04 12:06:00,40.591681627861014,-74.13978388523995,COVID-19 Closure,Fully Locked
111th St-Basketball-04,af,M,2020-04-07 17:24:00,40.806200553276845,-73.969726173989,COVID-19 Closure,Fully Locked
76th St-Neufeld Plgd-Basketball-09,af,M,2020-04-07 17:11:00,40.78319138981603,-73.98491426562741,COVID-19 Closure,Fully Locked
Wallenberg Plgd-Basketball-02,af,M,2020-04-06 17:25:00,40.85349402497081,-73.92665459301314,COVID-19 Closure,Fully Locked
Basketball-01,af,Q,2020-04-04 21:32:00,40.74824496062683,-73.80322728795443,COVID-19 Closure,Temporary Fencing
Prospect Park-Basketball-01,af,X,2020-04-10 15:12:00,40.8402131910362,-73.8912410616713,COVID-19 Closure,Temporary Fencing
Charybdis Playground-Basketball-02,af,Q,2020-04-08 15:27:00,40.77862705450816,-73.92387813074717,COVID-19 Closure,
Basketball-01,af,X,2020-04-08 16:28:00,40.881467573774714,-73.90053863221578,COVID-19 Closure,Temporary Fencing
157 St Playground-Basketball-06,af,Q,2020-04-07 11:33:00,40.68435363126293,-73.78639993923927,COVID-19 Closure,Fully Locked
Dry Harbor-Basketball-05,af,Q,2020-04-09 16:16:00,40.702600207117634,-73.8686007096283,COVID-19 Closure,
Basketball-02,af,X,2020-04-15 14:05:00,40.82820902284547,-73.92992423166193,COVID-19 Closure,Fully Locked
Plgd w/ Mini Pool & Courts-Basketball-01,af,X,2020-04-17 09:52:00,40.8767625228555,-73.87756939846992,COVID-19 Closure,Fully Locked
Plgd w/ Mini Pool & Courts-Basketball-02,af,X,2020-04-17 09:51:00,40.87674161319555,-73.87787590637498,COVID-19 Closure,Fully Locked
Van Cortlandt Classic Plgd-Basketball-04,af,X,2020-04-22 09:52:00,40.88526681977326,-73.89124126172021,COVID-19 Closure,Fully Locked
Van Cortlandt Classic Plgd-Basketball-03,af,X,2020-04-22 09:52:00,40.885333351717534,-73.8908828951407,COVID-19 Closure,Fully Locked
Basketball-01,af,B,2020-04-10 11:12:00,40.648020716258024,-74.00331963806201,COVID-19 Closure,Fully Locked
Basketball-03,af,B,2020-04-10 11:12:00,40.647885344896075,-74.003089584848,COVID-19 Closure,Fully Locked
Basketball-04,af,B,2020-04-10 11:12:00,40.647982690777546,-74.00302029072964,COVID-19 Closure,Fully Locked
Basketball-02,af,B,2020-04-10 11:12:00,40.648095917246316,-74.00320805615553,COVID-19 Closure,Fully Locked
Basketball-06,af,B,2020-04-10 11:12:00,40.61371033077402,-74.02969662349618,COVID-19 Closure,Fully Locked
Basketball-04,af,B,2020-04-10 11:12:00,40.613591476205094,-74.02985240797821,COVID-19 Closure,Fully Locked
Basketball-05,af,B,2020-04-10 11:12:00,40.613667226897796,-74.0299405963789,COVID-19 Closure,Fully Locked
79th St Fields-Basketball-02,af,B,2020-04-10 11:12:00,40.631346298215405,-74.03972900335648,COVID-19 Closure,Fully Locked
Owls Head Park-Basketball-04,af,B,2020-04-10 11:12:00,40.64066026370304,-74.02984241932946,COVID-19 Closure,Partially Locked
Owls Head Park-Basketball-03,af,B,2020-04-10 11:12:00,40.64054774602771,-74.02995758352603,COVID-19 Closure,Partially Locked
Owls Head Park-Basketball-02,af,B,2020-04-10 11:12:00,40.64038689074138,-74.03012573548622,COVID-19 Closure,Partially Locked
Owls Head Park-Basketball-01,af,B,2020-04-10 11:12:00,40.64026979722744,-74.03024644381748,COVID-19 Closure,Partially Locked
Basketball-02,af,B,2020-04-10 11:12:00,40.626201845269776,-74.016560437733,COVID-19 Closure,Taped Off
Basketball-01,af,B,2020-04-10 11:12:00,40.62629603421326,-74.01671622575265,COVID-19 Closure,Taped Off
79th St Fields-Basketball-03,af,B,2020-04-10 11:12:00,40.63125076633778,-74.03958872578953,COVID-19 Closure,Fully Locked
79th St Fields-Basketball-01,af,B,2020-04-10 11:12:00,40.6310718875786,-74.03981701442856,COVID-19 Closure,Fully Locked
Dyker 14th Ave-Bocce-01,af,B,2020-04-10 14:58:00,40.61280982911089,-74.01335878612454,COVID-19 Closure,Blocked with Barricade
Dyker 14th Ave-Bocce-02,af,B,2020-04-10 14:58:00,40.61284658014508,-74.0134217754172,COVID-19 Closure,Blocked with Barricade
Handball-04,af,Q,2020-04-05 16:38:00,40.68017108349523,-73.80219493686617,COVID-19 Closure,Blocked with Barricade
Handball-01,af,Q,2020-04-05 16:38:00,40.68029895990981,-73.80225801192772,COVID-19 Closure,Blocked with Barricade
Van Cortlandt Classic Plgd-Handball-04,af,X,2020-04-07 13:48:00,40.88537534306386,-73.8910816015385,COVID-19 Closure,Fully Locked
Van Cortlandt Classic Plgd-Handball-05,af,X,2020-04-07 13:48:00,40.885403603390536,-73.89123324010882,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-04,af,Q,2020-04-05 17:42:00,40.672884170707235,-73.85413955254316,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-03,af,Q,2020-04-05 17:42:00,40.67298951578438,-73.85408257574329,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-02,af,Q,2020-04-05 17:42:00,40.67301790259889,-73.85417293125232,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-05,af,Q,2020-04-05 17:42:00,40.67291243351418,-73.85422986704533,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-01,af,Q,2020-04-05 17:42:00,40.67302865408015,-73.85428753156644,COVID-19 Closure,Fully Locked
Addabbo Playground-Handball-06,af,Q,2020-04-05 17:42:00,40.672924538731245,-73.85434414773043,COVID-19 Closure,Fully Locked
Bush Clinton Park-Volleyball-02,af,B,2020-04-06 13:59:00,40.67370641759169,-74.00326402118695,COVID-19 Closure,Fully Locked
Volleyball-03,af,M,2020-04-08 15:42:00,40.715064585061285,-73.99991646170044,COVID-19 Closure,
Rockaway Community Playground-Volleyball-01,af,Q,2020-04-09 08:22:00,40.598394908472045,-73.78530233778254,COVID-19 Closure,Temporary Fencing
Volleyball-02,af,M,2020-04-08 15:42:00,40.71505505477521,-74.00009056286828,COVID-19 Closure,
Volleyball-01,af,B,2020-04-07 12:10:00,40.63152323962213,-74.0131667890103,COVID-19 Closure,Partially Locked
Volleyball-01,af,B,2020-04-07 14:12:00,40.697742273598436,-73.97915024479582,COVID-19 Closure,Temporary Fencing
Jacob Javits Plgd-Volleyball-01,af,M,2020-04-08 15:44:00,40.859023441076296,-73.93355620451781,COVID-19 Closure,
Bush Clinton Park-Volleyball-01,af,B,2020-04-06 13:59:00,40.673780676933376,-74.0035326135263,COVID-19 Closure,Fully Locked
101st St-Volleyball-08,af,M,2020-04-07 15:52:00,40.80065389929447,-73.97374523833491,COVID-19 Closure,Fully Locked
Volleyball-01,af,M,2020-04-08 15:42:00,40.71504457094561,-74.0002646627991,COVID-19 Closure,
Great Lawn Plgd-Volleyball-02,af,M,2020-04-08 13:53:00,40.78255559686079,-73.96441076161163,COVID-19 Closure,
101st St-Volleyball-07,af,M,2020-04-07 15:52:00,40.800758530058985,-73.97366852516731,COVID-19 Closure,Fully Locked
148th St-Volleyball-01,af,M,2020-04-07 17:01:00,40.829696292669865,-73.95245853398112,COVID-19 Closure,Temporary Fencing
Bush Clinton Park-Track-01,af,B,2020-04-06 13:58:00,40.673730496169604,-74.00338998741482,COVID-19 Closure,Fully Locked
Great Lawn Plgd-Volleyball-01,af,M,2020-04-08 13:53:00,40.782703660884955,-73.96430454546302,COVID-19 Closure,
Jacob Javits Plgd-Volleyball-02,af,M,2020-04-08 15:44:00,40.8588122477437,-73.93365630234712,COVID-19 Closure,
Silver Lake Park-Tennis-01,af,R,2020-04-07 16:30:00,40.62791592054348,-74.09910295954215,COVID-19 Closure,Fully Locked
Baisley Park South-Tennis-07,af,Q,2020-04-06 18:27:00,40.66959109718221,-73.78819521703264,COVID-19 Closure,Fully Locked
