name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Triborough Bridge Playground C Dog Run,dr,Q,2020-04-09 02:19:23,40.77389175978022,-73.92210927452956,COVID-19 Closure,Completely Locked
Landing Lights Dog Run,dr,Q,2020-04-10 11:12:01,40.76165918768709,-73.88993999437952,COVID-19 Closure,Completely Locked
Bronx River Park Dog Run,dr,X,2020-04-21 12:11:13,40.855582012985955,-73.87061798173522,COVID-19 Closure,Completely Locked
Bellevue South Park Dog Run,dr,M,2020-04-09 01:43:52,40.73988153446484,-73.9784081778371,COVID-19 Closure,Completely Locked
Fox Playground Dog Run,dr,X,2020-04-09 02:27:32,40.81500711372612,-73.89817581336825,COVID-19 Closure,Completely Locked
Riverside Park South Dog Run,dr,M,2020-04-09 01:40:49,40.78126588714794,-73.98742317848543,COVID-19 Closure,Completely Locked
Greenwood Playground Dog Run,dr,B,2020-04-10 10:07:50,40.64940146841528,-73.97634076629897,COVID-19 Closure,Completely Locked
Fort Independence Playground Dog Run,dr,X,2020-04-09 02:30:56,40.8817006446917,-73.8945649675969,COVID-19 Closure,Completely Locked
Overlook Dog Park / The Barking Lot,dr,Q,2020-04-09 02:17:14,40.71044369167561,-73.83666434608972,COVID-19 Closure,Completely Locked
Robin Kovary Run for Small Dogs,dr,M,2020-04-09 01:14:32,40.73018611801388,-73.99751540818292,COVID-19 Closure,Completely Locked
East River Esplanade Waterfront Dog Run,dr,M,2020-04-09 01:23:22,40.70442765170396,-74.00562798239595,COVID-19 Closure,Completely Locked
Stuyvesant Square Dog Park,dr,M,2020-04-09 01:44:13,40.733103073243505,-73.9838065253905,COVID-19 Closure,Completely Locked
Riverside Park Dog Run (W. 142nd St.),dr,M,2020-04-09 01:54:05,40.82534266949341,-73.95412509188694,COVID-19 Closure,Completely Locked
Soundview Park Dog Run,dr,X,2020-04-20 10:00:19,40.81899813245136,-73.87765363053273,COVID-19 Closure,Completely Locked
Ida Court Dog Run,dr,R,2020-04-09 09:33:09,40.5382258481097,-74.18737822156531,COVID-19 Closure,Completely Locked
Cooper Park Small Dog Run,dr,B,2020-04-09 02:02:03,40.71539208058811,-73.93624541274423,COVID-19 Closure,Completely Locked
Cooper Park Large Dog Run,dr,B,2020-04-09 02:02:03,40.715416517382444,-73.93606421116068,COVID-19 Closure,Completely Locked
St. Mary's Park Dog Run,dr,X,2020-04-09 12:34:21,40.80968481821172,-73.91218185784979,COVID-19 Closure,Completely Locked
Pier 6 Dog Run,dr,B,2020-04-10 10:09:16,40.692731987956684,-74.00003650003224,COVID-19 Closure,Completely Locked
Homer's Dog Run,dr,M,2020-04-09 02:01:29,40.87103530211525,-73.92174976686277,COVID-19 Closure,Completely Locked
Washington Park Dog Run,dr,B,2020-04-10 10:04:52,40.67288294649587,-73.98579674125945,COVID-19 Closure,Completely Locked
Hunters Point South Park Dog Run,dr,Q,2020-04-09 01:53:31,40.743376433134316,-73.96024015413447,COVID-19 Closure,Completely Locked
Lou Lodati Dog Park,dr,Q,2020-04-09 01:53:11,40.74730180908552,-73.92170284529995,COVID-19 Closure,Completely Locked
Dog Bone Run,dr,X,2020-04-22 10:52:05,40.88374460228708,-73.88285102643458,COVID-19 Closure,Completely Locked
Woodlawn Dog Run,dr,X,2020-04-09 11:11:16,40.89957749288682,-73.87320055852902,COVID-19 Closure,Completely Locked
Canine Court Dog Run,dr,X,2020-04-22 10:05:10,40.89905940472516,-73.89515337804359,COVID-19 Closure,Completely Locked
Tribeca Dog Run,dr,M,2020-04-09 01:36:09,40.716163342347485,-74.01210284981786,COVID-19 Closure,Completely Locked
The Rocky Run,dr,M,2020-04-09 01:59:44,40.84088499911446,-73.94533655633677,COVID-19 Closure,Completely Locked
DeWitt Clinton Park Large Dog Run,dr,M,2020-04-09 01:53:18,40.76754569523651,-73.99413410512037,COVID-19 Closure,Completely Locked
DeWitt Clinton Park Small Dog Run,dr,M,2020-04-09 01:49:08,40.7676231829053,-73.99444541982662,COVID-19 Closure,Completely Locked
Brooklyn Bridge Park Dog Run,dr,B,2020-04-10 10:07:14,40.7043708121758,-73.98903402337547,COVID-19 Closure,Completely Locked
Williamsbridge Oval Dog Run,dr,X,2020-04-17 09:57:03,40.87798492199366,-73.8760338009757,COVID-19 Closure,Completely Locked
Manhattan Beach Dog Run (Oriental Boulevard),dr,B,2020-04-10 09:50:56,40.57784349054194,-73.94167364594684,COVID-19 Closure,Completely Locked
Dimattina Park Dog Run - South,dr,B,2020-04-10 10:05:13,40.67977488851527,-74.00285653797884,COVID-19 Closure,Completely Locked
Maria Hernandez Park Dog Run,dr,B,2020-04-09 02:17:33,40.70367018997777,-73.92300446369569,COVID-19 Closure,Completely Locked
Sternberg Park Dog Run,dr,B,2020-04-09 02:02:48,40.70613333468811,-73.94676674247651,COVID-19 Closure,Completely Locked
Wolfe's Pond Park Dog Run,dr,R,2020-04-09 09:30:35,40.51988664976278,-74.18513009140567,COVID-19 Closure,Completely Locked
Silver Lake Park Dog Run,dr,R,2020-04-09 09:29:33,40.62651017667797,-74.0927557986342,COVID-19 Closure,Completely Locked
