id,propname,subpropname
1063,Rocket Playground,Rocket Playground
1064,Riverside Park,Hudson Beach Volleyball Courts & Café
1065,Juniper Valley Park,Juniper North Playground Tennis
1066,"Martin Luther King, Jr. Playground","Martin Luther King, Jr. Playground"
1067,Beach 9 Playground,Beach 9 Playground
1068,Winthrop Playground,Winthrop Playground
1069,Forest Park,Victory Field
1070,Van Voorhees Playground,Van Voorhees Playground
1071,Barretto Point Park,Barretto Point Park
1072,Baisley Pond Park,Sutphin Playground
1073,Sunset Park,Sunset Park
1074,Abigail Playground,Abigail Playground
1075,Bloomingdale Park,Bloomingdale Park Zone 3
1076,Thomas Jefferson Park,Thomas Jefferson Park
1077,Hilltop Playground,Hilltop Playground
1078,Wingate Park,Wingate Park
1079,Coney Island Beach & Boardwalk,Coney Island Beach Zone 4b
1080,Macombs Dam Park,Macombs Dam Park Zone 1 Upper
1081,Ferry Point Park,Ferry Point Park Zone 4
1082,St. Mary's Park,St Mary's Playground West
1083,Noble Playground,Noble Playground
1084,Aqueduct Walk,Aqueduct Lands Plgd
1085,Captain Rivera Playground,Captain Rivera Playground
1086,Russell Pedersen Playground,Russell Pedersen Playground
1087,Park Of The Americas,Park Of The Americas
1088,East River Esplanade,East River Esplanade
1089,Red Hook Recreation Area,Bush Clinton Park
1090,Curtis Playground,Curtis Playground
1091,Dome Playground,Dome Playground
1092,Plimpton Playground,Plimpton Playground
1093,Crotona Park,Boxcar Plgd (6)
1094,Frank Principe Park,Frank Principe Park
1095,Hope Ballfield,Hope Ballfield
1096,Lieutenant John H. Martinson Playground,Lieutenant John H. Martinson Playground
1097,Russell Sage Playground,Russell Sage Playground
1098,Cedar Playground,Cedar Playground
1099,Kelly Park Playground,Kelly Park Playground
1100,Bartlett Playground,Bartlett Playground
1101,Adam Yauch Park,Adam Yauch Park
1102,Marine Park,Marine Park Zone 2
1103,Police Officer Edward Byrne Park,Police Officer Edward Byrne Park
1104,Astoria Park,Astoria Park Zone 1
1105,Whitey Ford Field,Whitey Ford Field
1106,Highbridge Park,Wallenberg Plgd
1107,Clove Lakes Park,Clove Lakes Park Zone 4
1108,Canarsie Park,Dinapoli Plgd
1109,Asser Levy Playground,Asser Levy Playground
1110,Beach 17 Playground,Beach 17 Playground
1111,Fred Samuel Playground,Fred Samuel Playground
1112,Astoria Heights Playground,Astoria Heights Playground
1113,Happy Warrior Playground,Happy Warrior Playground
1114,Louis C. Moser Playground,Louis C. Moser Playground
1115,Owl's Head Park,Owls Head Park
1116,Harding Park,Harding Park
1117,Wolfe's Pond Park,Wolfe's Pond Park Zone 2
1118,Brookville Park,Brookville Playground
1119,Maple Playground,Maple Playground
1120,Herbert Von King Park,Herbert Von King Park
1121,Canarsie Park,Canarsie Park Zone 3
1122,Flushing Meadows Corona Park,Albert H. Mauro Playground
1123,Hunts Point Playground,Hunts Point Playground
1124,St. Mary's Park,St Mary's Playground East
1125,Stockton Playground,Stockton Playground
1126,Rochdale Park,Rochdale Park
1127,City Line Park,City Line Park
1128,Flynn Playground,Flynn Playground
1129,St. Catherine's Park,St. Catherine's Park
1130,Harry Maze Playground,Harry Maze Playground
1131,Pugsley Creek Park,Pugsley Creek Park Zone 2
1132,Pat Williams Playground,Pat Williams Playground
1133,St. Mary's Park,St. Mary's Park
1134,Corona Golf Playground,Corona Golf Playground
1135,Laurelton Playground,Laurelton Playground
1136,Bensonhurst Park,Bensonhurst Park Playground
1137,Jackie Robinson Playground,Jackie Robinson Playground
1138,Saw Mill Playground,Saw Mill Playground
1139,Powell Playground,Powell Playground
1140,Lopez Playground,Lopez Playground
1141,Brownsville Playground,Brownsville Playground
