name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Rocket Playground Exercise Equipment,ee,Q,2020-04-11 06:48:43,40.6706678178842,-73.84627851240839,COVID-19 Closure,Completely Locked
Hudson Beach Volleyball Courts & Café Exercise Equipment,ee,M,2020-04-10 12:10:07,40.80261866543613,-73.9723088812383,Active,N/A
Juniper North Playground Tennis Exercise Equipment,ee,Q,2020-04-11 06:19:08,40.720654869485145,-73.87709582234879,COVID-19 Closure,Temporary Fencing
"Martin Luther King, Jr. Playground Exercise Equipment",ee,M,2020-04-15 04:27:33,40.799834073707714,-73.95046394642269,COVID-19 Closure,Temporary Fencing
Beach 9 Playground Exercise Equipment,ee,Q,2020-04-09 03:18:23,40.5952950243855,-73.7450264620596,Active,N/A
Winthrop Playground Exercise Equipment,ee,B,2020-04-10 01:01:19,40.656569624722536,-73.95436927754135,COVID-19 Closure,Completely Locked
Victory Field Exercise Equipment,ee,Q,2020-04-11 06:25:58,40.70146025735233,-73.85339787369941,Active,N/A
Van Voorhees Playground Exercise Equipment,ee,B,2020-04-10 12:32:14,40.69031144424675,-73.99932162436835,COVID-19 Closure,Completely Locked
Barretto Point Park Exercise Equipment,ee,X,2020-04-14 12:10:33,40.805000946999165,-73.8883643806014,COVID-19 Closure,N/A
Sutphin Playground Exercise Equipment,ee,Q,2020-04-11 06:54:38,40.67475332511123,-73.789076327717,COVID-19 Closure,Completely Locked
Sunset Park Exercise Equipment,ee,B,2020-04-10 12:37:24,40.64797630201613,-74.00374340596935,COVID-19 Closure,Taped Off
Abigail Playground Exercise Equipment,ee,X,2020-04-10 10:07:22,40.81731386925282,-73.90464194387371,COVID-19 Closure,Completely Locked
Bloomingdale Park Zone 3 Exercise Equipment,ee,R,2020-04-09 03:20:54,40.53302586858849,-74.2094651280486,Active,N/A
Thomas Jefferson Park Exercise Equipment,ee,M,2020-04-13 01:10:34,40.793202427096176,-73.93559005057931,Active,N/A
Hilltop Playground Exercise Equipment,ee,B,2020-04-10 05:03:14,40.67532564231405,-73.91433859819634,COVID-19 Closure,Completely Locked
Wingate Park Exercise Equipment,ee,B,2020-04-10 12:57:41,40.65856952010346,-73.94419925957446,COVID-19 Closure,Completely Locked
Coney Island Beach Zone 4b Exercise Equipment,ee,B,2020-05-08 04:10:04,40.57282965851369,-73.97612258859823,COVID-19 Closure,Temporary Fencing
Macombs Dam Park Zone 1 Upper Exercise Equipment,ee,X,2020-04-09 03:49:04,40.82796512810488,-73.9293295606938,COVID-19 Closure,Temporary Fencing
Ferry Point Park Zone 4 Exercise Equipment,ee,X,2020-04-09 03:24:38,40.819745433218365,-73.8257334075983,Active,N/A
St Mary's Playground West Exercise Equipment,ee,X,2020-04-10 10:05:52,40.812796199974876,-73.91325758564736,COVID-19 Closure,Temporary Fencing
Noble Playground Exercise Equipment,ee,X,2020-04-10 02:22:42,40.83730964780272,-73.87225180093814,COVID-19 Closure,Completely Locked
Aqueduct Lands Plgd Exercise Equipment,ee,X,2020-04-13 12:05:26,40.85769666481753,-73.90858175040887,COVID-19 Closure,Temporary Fencing
Captain Rivera Playground Exercise Equipment,ee,X,2020-04-10 10:08:34,40.81793426718316,-73.90693259459749,COVID-19 Closure,Partially Locked
Russell Pedersen Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.62638149625277,-74.03618079563667,Active,N/A
Park Of The Americas Exercise Equipment,ee,Q,2020-04-13 09:15:26,40.74856510690505,-73.86192271977383,COVID-19 Closure,Partially Locked
East River Esplanade Exercise Equipment,ee,M,2020-04-10 11:54:48,40.745868827524944,-73.96968476295301,COVID-19 Closure,Blocked with Barricade
Bush Clinton Park Exercise Equipment,ee,B,2020-04-10 12:36:38,40.6737079062648,-74.00341580316581,Active,Completely Locked
Curtis Playground Exercise Equipment,ee,B,2020-04-10 04:46:57,40.640952081836495,-73.91741522757015,COVID-19 Closure,Completely Locked
Dome Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.63820669295218,-73.98019420844595,Active,N/A
Plimpton Playground Exercise Equipment,ee,X,2020-04-16 10:43:03,40.843925331865094,-73.92241783997181,COVID-19 Closure,Completely Locked
Boxcar Plgd (6) Exercise Equipment,ee,X,2020-04-15 10:11:38,40.8369477993808,-73.8927296175328,COVID-19 Closure,Temporary Fencing
Frank Principe Park Exercise Equipment,ee,Q,2020-04-11 05:53:10,40.72746741591657,-73.90473912871441,COVID-19 Closure,Completely Locked
Hope Ballfield Exercise Equipment,ee,B,2020-05-21 11:52:22,40.69748404677454,-73.91713545206649,COVID-19 Closure,Completely Locked
Lieutenant John H. Martinson Playground Exercise Equipment,ee,R,2020-04-09 03:20:54,40.536862934021656,-74.16264451633752,COVID-19 Closure,Completely Locked
Russell Sage Playground Exercise Equipment,ee,Q,2020-04-11 06:19:53,40.723774979073774,-73.85147543218127,COVID-19 Closure,Completely Locked
Cedar Playground Exercise Equipment,ee,X,2020-04-16 11:49:39,40.855122235735955,-73.91738859057573,COVID-19 Closure,Blocked with Barricade
Kelly Park Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.60417856226807,-73.95764201145822,Active,N/A
Bartlett Playground Exercise Equipment,ee,B,2020-04-10 11:37:33,40.70090041528183,-73.94609574490927,COVID-19 Closure,Completely Locked
Adam Yauch Park Exercise Equipment,ee,B,2020-04-09 03:15:34,40.69209837983133,-73.99914590630208,Active,N/A
Marine Park Zone 2 Exercise Equipment,ee,B,2020-04-09 03:15:34,40.60576617755164,-73.93246441046279,Active,N/A
Police Officer Edward Byrne Park Exercise Equipment,ee,Q,2020-04-11 06:51:12,40.667339200754526,-73.80744201010107,COVID-19 Closure,Blocked with Barricade
Astoria Park Zone 1 Exercise Equipment,ee,Q,2020-04-13 03:34:44,40.77673004027609,-73.9250723759056,COVID-19 Closure,N/A
Whitey Ford Field Exercise Equipment,ee,Q,2020-04-11 01:19:59,40.777646960436236,-73.93483559589428,Active,N/A
Wallenberg Plgd Exercise Equipment,ee,M,2020-04-10 12:53:35,40.85291295605653,-73.9268989214219,COVID-19 Closure,Completely Locked
Clove Lakes Park Zone 4 Exercise Equipment,ee,R,2020-04-09 03:20:54,40.62469636799956,-74.12071163775693,Active,N/A
Dinapoli Plgd Exercise Equipment,ee,B,2020-04-09 03:15:34,40.63082565366608,-73.89299093014267,Active,N/A
Asser Levy Playground Exercise Equipment,ee,M,2020-04-14 03:44:11,40.73644242592239,-73.97561547247632,Active,N/A
Beach 17 Playground Exercise Equipment,ee,Q,2020-04-09 03:18:23,40.59448974090656,-73.74880446851114,Active,N/A
Fred Samuel Playground Exercise Equipment,ee,M,2020-04-13 01:15:20,40.81715574647379,-73.93923671753906,COVID-19 Closure,Completely Locked
Astoria Heights Playground Exercise Equipment,ee,Q,2020-04-11 05:27:28,40.76042085301537,-73.91174252356157,COVID-19 Closure,Completely Locked
Happy Warrior Playground Exercise Equipment,ee,M,2020-04-15 04:21:20,40.795476652982714,-73.96864303105511,COVID-19 Closure,Completely Locked
Louis C. Moser Playground Exercise Equipment,ee,Q,2020-04-11 05:56:09,40.76310686180756,-73.89223437689381,COVID-19 Closure,Completely Locked
Owls Head Park Exercise Equipment,ee,B,2020-04-09 03:15:34,40.640347469698526,-74.03013614141982,Active,N/A
Harding Park Exercise Equipment,ee,X,2020-04-10 03:10:19,40.80930852852364,-73.85660599548011,COVID-19 Closure,Partially Locked
Wolfe's Pond Park Zone 2 Exercise Equipment,ee,R,2020-04-09 03:20:54,40.517857122286884,-74.19113396420104,Active,N/A
Brookville Playground Exercise Equipment,ee,Q,2020-04-11 07:33:20,40.663212483148996,-73.74144047160583,COVID-19 Closure,Temporary Fencing
Maple Playground Exercise Equipment,ee,Q,2020-04-11 07:28:14,40.75587494967768,-73.82609147065686,COVID-19 Closure,Completely Locked
Herbert Von King Park Exercise Equipment,ee,B,2020-04-10 12:00:22,40.68952450560375,-73.94588134503036,COVID-19 Closure,Partially Locked
Canarsie Park Zone 3 Exercise Equipment,ee,B,2020-04-10 04:40:02,40.62566473995163,-73.89672470658327,COVID-19 Closure,Completely Locked
Albert H. Mauro Playground Exercise Equipment,ee,Q,2020-04-11 07:24:07,40.72336395237862,-73.82722743008128,COVID-19 Closure,Temporary Fencing
Hunts Point Playground Exercise Equipment,ee,X,2020-04-10 10:11:34,40.814136559758325,-73.88597051944393,COVID-19 Closure,Completely Locked
St Mary's Playground East Exercise Equipment,ee,X,2020-04-10 10:05:17,40.8102807321832,-73.9104894866682,COVID-19 Closure,Temporary Fencing
Stockton Playground Exercise Equipment,ee,B,2020-04-10 12:27:53,40.697283737702975,-73.94867376733984,COVID-19 Closure,Completely Locked
Rochdale Park Exercise Equipment,ee,Q,2020-04-11 07:32:19,40.67467071888909,-73.77442324137397,COVID-19 Closure,Temporary Fencing
City Line Park Exercise Equipment,ee,B,2020-05-21 01:03:15,40.67948179994448,-73.87492274042454,COVID-19 Closure,Completely Locked
Flynn Playground Exercise Equipment,ee,X,2020-04-10 10:08:57,40.82104461502767,-73.91193278875865,COVID-19 Closure,Completely Locked
St. Catherine's Park Exercise Equipment,ee,M,2020-04-10 11:53:33,40.76519440893391,-73.9587213697007,COVID-19 Closure,Completely Locked
Harry Maze Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.64341783868127,-73.92317587764559,Active,N/A
Pugsley Creek Park Zone 2 Exercise Equipment,ee,X,2020-04-10 02:21:53,40.812510682421184,-73.85224766433613,COVID-19 Closure,Partially Locked
