place_id,location,accesslvl,rules
1,Not Specified,0,Unknown
2,Longfellow Av bet. E 173 St and E 174 St,0,Adults Allowed
3,E 146 St bet. Walton Av and Grand Concourse,0,Unknown
4,Not Specified,0,Unknown
5,"80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St",0,Unknown
6,"FDR Dr., E. 95 St. To E. 97 St.",0,Adults Allowed
7,Not Specified,0,Unknown
8,West Of Hell Gate Bridge,4,Unknown
9,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",0,Adults Allowed
10,Macombs Rd bet. W 176 St and W 175 St,4,Adults Allowed
11,Bath Ave. between 24 Ave. and Bay 37 St.,0,Adults Allowed
12,E. 105 St. To E. 106 St. bet. Lexington Ave. and 3 Ave.,3,Adults Allowed
13,Bay Pkwy & Cropsey Avenue,4,Unknown
14,Northern Blvd. bet. 93 St. and 94 St.,4,Adults Allowed
15,"Merriam & Ogden Aves, W 168 St, University",4,Adults not allowed in some locations
16,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",2,Adults Allowed
17,N/B Bruckner Blvd bet. Colgate Ave. and Close Ave.,2,Adults Allowed
18,Beach Channel Dr. bet. Beach 104 St. and Seaside Ave.,4,Adults Allowed
19,Throop Ave. between Myrtle Ave. and Park Ave.,4,Unknown
20,Stuyvesant Ave. and Fulton St.,2,Adults not allowed in some locations
21,N Conduit Ave. and 149 Ave.bet. Whitelaw St. and Lafayette St.,4,Adults Allowed
22,W. 45 St. bet. 9 Ave. and 10 Ave.,3,Adults Allowed
23,Morton Pl & University Ave,2,Adults Allowed
24,Marcus Garvey Blvd. bet. Monore St. and Madison St.,4,Adults Allowed
25,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,4,Adults not allowed in some locations
26,Classon Ave. bet. Fulton St. and Lefferts Pl.,4,Adults Allowed
27,34 Ave. bet. 96 St. and Junction Blvd.,4,Adults Allowed
28,"Crotona Ave, Crotona Pk N",4,Adults not allowed in some locations
29,Elton St. bet. New Lots Ave. and Hegeman Ave.,0,Adults Allowed
30,Not Specified,0,Unknown
31,E. 71 St. between Ave. N and Ave. T,4,Adults Allowed
32,"E. 12 St., E. 11 St. bet. 1 Ave. and Ave. A",0,Unknown
33,W 142 St & Riverside Dr,4,Unknown
34,E 141 St to E 140 St bet. Willis Av and Alexander Av,4,Adults Allowed
35,On Path Between Passarelle Building And Fountain Of Planets (in Zone 14),3,Unknown
36,101 Ave. bet. 92 St. and 83 St.,4,Adults Allowed
37,67 Ave. bet. 230 St. and 233 St.,0,Adults Allowed
38,"King, Richards & Dwight Sts",4,Adults not allowed in some locations
39,Spofford Av bet. Faile St and Hunts Point Av,4,Adults Allowed
40,160 Ave. bet. 88 St. and 89 St.,0,Adults Allowed
41,"Audubon Ave., W. 169 St. and W. 170 St.",4,Adults Allowed
42,Argyle Rd. and Cortelyou Rd.,2,Adults not allowed in some locations
43,DeKalb Ave & Washington Pk,2,Unknown
44,Allerton Ave. bet. Throop Ave. and Bouck Ave.,4,Adults Allowed
45,"W. 17 St., 8 Ave. To 9 Ave.",4,Adults Allowed
46,"Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.",0,Adults Allowed
47,Jerome Park Resevoir and Sedgwick Av bet. W,0,Adults Allowed
48,"Schmidts La., Manor Rd. and Laguardia Ave.",3,Adults Allowed
49,S/O Ave U & E 38 St,4,Unknown
50,Cross Bay Blvd. bet. E 9 Rd. and E 10 Rd.,4,Adults not allowed in some locations
51,84 St & Central Park West,4,Unknown
52,Not Specified,0,Unknown
53,Ave. V between Nostrand Ave. and Batchelder St.,4,Adults Allowed
54,Shorefront Parkway And Beach 74 St,4,Unknown
55,Tinton Av bet. E 166 St and E 165 St,4,Adults Allowed
56,"Lydig Ave, Bronx Pk E",4,Adults Allowed
57,"Ramona Ave, Lenevar Ave",0,Adults not allowed in some locations
58,Rockaway Ave. bet. Blake Ave. and Dumont Ave.,4,Adults Allowed
59,"Vernon Blvd, Main Ave",4,Adults Allowed
60,East 9 St & Ave A,3,Adults not allowed in some locations
61,164 St & Lithonia,4,Unknown
62,Lewis St. bet. Delancey St. and Broome St.,2,Adults Allowed
63,"Targee St, Stanwich St. Rome Ave.",4,Unknown
64,Not Specified,0,Unknown
65,"Strong St, Reservoir Ave",2,Adults not allowed in some locations
66,"W. 155 St., 8 Ave. To Harlem River Drive",4,Adults Allowed
67,Falmouth St & Oriental Ave,2,Unknown
68,Not Specified,0,Unknown
69,72 Ave. bet. 112 St. and Grand Central Parkway,4,Adults Allowed
70,75 Ave. bet. Bell Blvd. and 217 St.,2,Adults Allowed
71,Nelson Av bet. Featherbed La and W 174 St,4,Adults not allowed in some locations
72,"20 Ave., 21 Ave. bet. 123 St. and 124 St.",2,Adults Allowed
73,La Guardia Pl. bet. W. 3 St. and Bleecker St.,0,Adults not allowed in some locations
74,"Rapelye St., Hicks St., Coles St.",0,Unknown
75,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.",4,Adults Allowed
76,Not Specified,0,Unknown
77,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,4,Adults Allowed
78,"Catherine Slip, Madison St. and South St.",0,Adults Allowed
79,Liberty Ave. bet. 101 St. and 102 St.,4,Adults Allowed
80,E. 103 St. to E. 104 St. between Ave. J and Ave. K,0,Adults not allowed in some locations
81,E 114 St & Pleasant,4,Adults not allowed in some locations
82,"Ft Washington Av, W 183 St, Pinehurst Av",4,Adults Allowed
83,"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",4,Adults Allowed
84,"Arberdeen St., Furman Ave. north of Bushwick Ave.",3,Adults Allowed
85,167 St. bet. 108 Dr. and 109 Ave.,4,Adults Allowed
86,150 St & 130 Ave,4,Unknown
87,Boone Av bet. W Farms Rd and Freeman St,4,Adults Allowed
88,Ft. Hamilton Pkwy. bet. 52 St. and 53 St.,4,Adults Allowed
89,"W 105-106 Sts, Riverside Dr",4,Unknown
90,"Ave. D, Ditmas Ave. bet. E. 56 St. and E. 57 St.",4,Adults Allowed
91,40 Rd. bet. Prince St. and Main St.,4,Adults not allowed in some locations
92,3 Ave. bet. 47 St. and 46 St.,4,Adults Allowed
93,Britton St. bet. Olinville Ave. and Barker Ave.,4,Adults Allowed
94,"Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.",0,Adults Allowed
95,Prospect Ave. bet. N/B Cross Bronx Exwy. and Fairmount Pl.,0,Unknown
96,Wortman Ave. between Vermont St. and New Jersey Ave.,4,Adults Allowed
97,W 189 St &  Amsterdam Ave,4,Adults Allowed
