name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Sunken Playground,pg,M,2020-05-21 11:10:17,40.83789503019744,-73.93606682793899,COVID-19 Closure,Not Lockable
Rock Garden Park,pg,X,2020-05-21 11:10:12,40.83522130066535,-73.88518423007375,COVID-19 Closure,Completely Locked
Garrison Playground,pg,X,2020-05-21 11:09:47,40.817388066348734,-73.9281917327351,COVID-19 Closure,Completely Locked
K.l. Williams Playground (Tennis),pg,Q,2020-05-21 11:10:32,40.70384827298734,-73.78505562920957,COVID-19 Closure,Completely Locked
Juniper North Playground Tennis,pg,Q,2020-05-21 11:08:22,40.72018675240357,-73.87769775064412,COVID-19 Closure,Completely Locked
Stanley Isaacs Playground,pg,M,2020-05-21 11:07:36,40.7826683116308,-73.94485264743886,COVID-19 Closure,Partially Locked
Great Lawn Plgd,pg,M,2020-05-21 11:10:32,40.78247647679099,-73.96444442562833,COVID-19 Closure,Not Lockable
Scylla Playground,pg,M,2020-05-21 11:07:27,40.78395160776719,-73.9255957500594,COVID-19 Closure,Completely Locked
Callahan-Kelly Playground,pg,B,2020-05-21 11:06:11,40.67831361810909,-73.90654102617172,COVID-19 Closure,Completely Locked
Galileo Playground,pg,X,2020-05-21 11:10:11,40.84867829129451,-73.91584004895996,COVID-19 Closure,Completely Locked
Bath Playground,pg,B,2020-05-21 11:06:52,40.59530400926753,-73.99312749637316,COVID-19 Closure,Completely Locked
White Playground,pg,M,2020-05-21 11:07:33,40.791505381663264,-73.94598801151152,COVID-19 Closure,Completely Locked
Bensonhurst Park Playground,pg,B,2020-05-21 11:05:38,40.596953973864395,-73.99982556769531,COVID-19 Closure,Completely Locked
Northern Playground,pg,Q,2020-05-21 11:08:58,40.75627921904649,-73.8743755648361,COVID-19 Closure,Partially Locked
Merriam Plgd (Lower),pg,X,2020-05-21 11:09:56,40.83921155455488,-73.92619832084705,COVID-19 Closure,Completely Locked
Nehemiah Park,pg,B,2020-05-21 11:06:58,40.661896118849086,-73.90561593948861,COVID-19 Closure,Completely Locked
Colgate Close,pg,X,2020-05-21 11:10:03,40.823666852825355,-73.88146191964121,COVID-19 Closure,Partially Locked
Bayside Playground,pg,Q,2020-05-21 11:09:02,40.58498302779673,-73.8248994821135,COVID-19 Closure,Completely Locked
Sumner Playground,pg,B,2020-05-21 11:06:27,40.69715431038876,-73.94301604749565,COVID-19 Closure,Completely Locked
Elizabeth Stroud Playground,pg,B,2020-05-21 11:06:06,40.67961916795001,-73.9310715611164,COVID-19 Closure,Completely Locked
Rocket Playground,pg,Q,2020-05-21 11:09:07,40.67068311296701,-73.8465596625497,COVID-19 Closure,Completely Locked
Mathews-Palmer Playground,pg,M,2020-05-21 11:07:34,40.76128980892847,-73.99285552744134,COVID-19 Closure,Completely Locked
