place_id,propname,subpropname
1027,St. Mary's Park,N/A
1028,Rockaway Beach Boardwalk,N/A
1029,Williamsbridge Oval,Plgd w/ Mini Pool & Courts
1030,Thomas Jefferson Park,Thomas Jefferson Park Playground
1031,City Line Park,N/A
1032,Brower Park,N/A
1033,Bayswater Park,N/A
1034,Playground 52 LII,N/A
1035,Faber Pool and Park,N/A
1036,Sgt. William Dougherty Playground,N/A
1037,Laurelton Playground,N/A
1038,Nautilus Playground,N/A
1039,Cooper Park,N/A
1040,Golconda Playground,N/A
1041,Martinez Playground,N/A
1042,East Elmhurst Playground,N/A
1043,Highbridge Park,Highbridge Park Zone 7
1044,Beach 17 Playground,N/A
1045,Coleman Playground,N/A
1046,Astoria Park,Astoria Park Zone 1
1047,Flushing Meadows Corona Park,Pavilion & Astral Fountain
1048,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach Playground
1049,Canarsie Park,Canarsie Park Zone 2
1050,London Planetree Playground,N/A
1051,Washington Park,N/A
1052,Robert E. Venable Park,N/A
1053,Riverside Park,N/A
1054,Forest Park,Greenhouse Playground
1055,McCarren Park,McCarren Park Zone 1
1056,Owl's Head Park,N/A
1057,Thomas Greene Playground,N/A
1058,River Avenue Parks,River Avenue Parks
1059,Mullaly Park,Mullaly Park Zone 1
1060,Bruckner Playground,N/A
1061,Bronx Park,Bronx Park Zone 3
1062,Marine Park,Seba Playground
